"FamilyID_idx";"GenusID";"Extinct";"GenusSc";"Authority";"Code";"Comment"
4941;5252;"2";"Mundia";"Bourne, Ashmole & Simmons, 2003";;
4941;5254;"2";"Aphanocrex";"Wetmore, 1963";"EXT, TAX";"Aphanocrex is included in Zapornia by HBW."
4941;5256;;"Zapornia";"Leach, 1816";"TAX, PHY";"Zapornia includes species formerly assigned to Porzana and Amaurornis (Slikas et al. 2002; Dickinson & Remsen 2013;  Stervander et al. 2019, Garcia-R et al. 2014; Boast et al. 2019)."
4941;5284;;"Rallina";"Gray, GR, 1846";;
4941;5296;;"Gymnocrex";"Salvadori, 1875";;
4941;5302;;"Himantornis";"Hartlaub, 1855";;
4941;5304;;"Megacrex";"D'Albertis & Salvadori, 1879";;
4941;5308;;"Poliolimnas";"Sharpe, 1893";;
4941;5310;;"Aenigmatolimnas";"Peters, JL, 1932";;
4941;5312;;"Gallicrex";"Blyth, 1852";"PHY";"Sequence between Aenigmatolimnas and Amaurornis is consistent with recent phylogenetic studies (Garcia-R et al. 2020)."
4941;5314;;"Amaurornis";"Reichenbach, 1853";"PHY, TAX";"Proposed revision of three species of Amaurornis (akool, flavirostra, olivieri) to Zapornia (Slikas et al. 2002; H&M 4; Stervander et al. 2019)."
4941;5327;"2";"Aphanapteryx";"von Frauenfeld, 1868";;
4941;5329;"2";"Erythromachus";"Milne-Edwards, 1873";;
5332;5333;;"Psophia";"Linnaeus, 1758";;
5344;5345;;"Balearica";"Brisson, 1760";;
5344;5352;;"Leucogeranus";"Bonaparte, 1855";"PHY, TAX";"Move Siberian Crane from Grus to Leucogeranus (Krajewski et al. 2010)."
5344;5354;;"Antigone";"Reichenbach, 1853";"PHY, TAX";"Move canadensis clade of Grus cranes to genus Antigone (Krajewski et al. 2010; NACC 2016-C-4)."
5344;5367;;"Grus";"Brisson, 1760";"PHY, TAX, SEQ";"Grus includes embedded genera Anthropoides (paradiseus, virgo) and Bugeranus (carunculatus) following H&M 4; but see Krajewski et al. (2010)."
5377;5378;;"Aramus";"Vieillot, 1816";;
5386;5387;;"Tachybaptus";"Reichenbach, 1853";;
5386;5415;;"Podilymbus";"Lesson, R, 1831";;
5386;5421;;"Rollandia";"Bonaparte, 1856";;
5386;5427;;"Poliocephalus";"Selby, 1840";;
5386;5430;;"Podiceps";"Latham, 1787";;
5386;5454;;"Aechmophorus";"Coues, 1862";;
5463;5464;;"Phoenicopterus";"Linnaeus, 1758";;
5463;5468;;"Phoeniconaias";"Gray, GR, 1869";;
5463;5470;;"Phoenicoparrus";"Bonaparte, 1856";;
5475;5476;;"Turnix";"Bonnaterre, 1791";;
5475;5539;;"Ortyxelos";"Vieillot, 1825";;
5542;5543;;"Burhinus";"Illiger, 1811";;
5542;5567;;"Esacus";"Lesson, R, 1831";;
5571;5572;;"Chionis";"Forster, JR, 1788";;
5580;5581;;"Pluvianellus";"Gray, GR, 1846";;
5584;5585;;"Haematopus";"Linnaeus, 1758";;
5607;5608;;"Ibidorhyncha";"Vigors, 1832";;
5611;5612;;"Himantopus";"Brisson, 1760";"PL";"Species taxonomy of Himantopus controversial; some authors recognize one species (H. himantopus) with 4-5 ssp. (H&M 4; HBW Alive)."
5611;5620;;"Cladorhynchus";"Gray, GR, 1840";;
