"GenusID_idx";"SpeciesID";"Extinct";"SpeciesEn";"SpeciesSc";"Authority";"BrRange";"NonbrRange";"Code";"Comment";"SpeciesUA"
24128;24151;;"Przevalski's Parrotbill";"Sinosuthora przewalskii";"(Berezowski & Bianchi, 1891)";"OR : sc China";;"TAX";"Przevalski's Parrotbill separated to genus Sinosuthora (Penhallurick & Robson 2009).";"Сутора рудовола"
24154;24155;;"White-collared Yuhina";"Parayuhina diademata";"(Verreaux, J, 1869)";"OR : Myanmar, China and nw Vietnam";;"TAX, PHY";"Move White-collared Yuhina to monotypic gen. nov. Parayuhina Cai et al., 2019.";"Югина чорнолоба"
24158;24159;;"Chestnut-crested Yuhina";"Staphida everetti";"Sharpe, 1887";"OR : Borneo";;"TAX, PHY";"Move to resurrected Staphida (Cai et al. 2019).";"Стафіда борнейська"
24158;24160;;"Striated Yuhina";"Staphida castaniceps";"(Moore, F, 1854)";"OR : Himalayas to nw Thailand";;"TAX, PHY";"Move to resurrected Staphida (Rasmussen & Anderton 2005; Cai et al. 2019).";"Стафіда східна"
24158;24165;;"Indochinese Yuhina";"Staphida torqueola";"(Swinhoe, 1870)";"OR : s China, nc Vietnam and ne Thailand";;"AS, TAX, PHY";"Yuhina torqueola is split from Y. castaniceps (Collar 2006a; BLI 1.0). Move to resurrected Staphida (Cai et al. 2019).";"Стафіда західна"
24166;24167;;"Black-chinned Yuhina";"Yuhina nigrimenta";"Blyth, 1845";"OR : c, e Himalayas to se China south to n, s Indochina";;"SSP";"Treat as monotypic; includes intermedia and pallida (Collar & Robson 2007).";"Югина мала"
24166;24168;;"Taiwan Yuhina";"Yuhina brunneiceps";"Ogilvie-Grant, 1906";"OR : Taiwan";;;;"Югина тайванська"
24166;24169;;"Whiskered Yuhina";"Yuhina flavicollis";"Hodgson, 1836";"OR : Himalayas";;;;"Югина вусата"
24166;24175;;"Burmese Yuhina";"Yuhina humilis";"(Hume, 1877)";"OR : Myanmar to c Laos";;;;"Югина бірманська"
24166;24178;;"White-naped Yuhina";"Yuhina bakeri";"Rothschild, 1926";"OR : Himalayas to n Myanmar";;;;"Югина асамська"
24166;24179;;"Stripe-throated Yuhina";"Yuhina gularis";"Hodgson, 1836";"OR : Himalayas to s China, c Vietnam";;;;"Югина темнокрила"
24166;24183;;"Rufous-vented Yuhina";"Yuhina occipitalis";"Hodgson, 1836";"OR : Himalayas to s China";;;;"Югина рудочерева"
24187;24188;;"Flame-templed Babbler";"Dasycrotapha speciosa";"Tweeddale, 1878";"OR : Philippines";;"TAX, PHY";"Separate Flame-templed Babbler from Stachyris to Dasycrotapha (Collar & Robson 2007; BLI); move to Zosteropidae (Moyle et al. 2009).";"Тимелія золотолоба"
24187;24189;;"Visayan Pygmy Babbler";"Dasycrotapha pygmaea";"(Ogilvie-Grant, 1896)";"OR : Leyte and Samar, Philippines";;"AS, PHY";"Stachyris pygmaea is split from S. plateni (Collar 2006a; BLI 1.0). Reclassify Stachyris pygmaea to Dasycrotapha in the Zosteropidae (Cibois 2003; Moyle et al. 2009).";"Баблер самарський"
24187;24190;;"Mindanao Pygmy Babbler";"Dasycrotapha plateni";"(Blasius, W, 1890)";"OR : Mindanao, Philippines";;"ENG, PHY";"Change English name of Stachyris plateni from Pygmy Babbler to Mindanao Pygmy Babbler with split of S. pygmaea (Collar 2006a). Reclassify Stachyris plateni to Dasycrotapha in the Zosteropidae (Cibois 2003; Moyle et al. 2009).";"Баблер малий"
