"GenusID_idx";"SpeciesID";"Extinct";"SpeciesEn";"SpeciesSc";"Authority";"BrRange";"NonbrRange";"Code";"Comment";"SpeciesUA"
6;7;;"Common Ostrich";"Struthio camelus";"Linnaeus, 1758";"AF : w, c, e, sw";;"TAX";"See Miller et al. (2011) re genetic structure and phylogeography of ostrich populations.";"Страус африканський"
6;12;;"Somali Ostrich";"Struthio molybdophanes";"Reichenow, 1883";"AF : Somalia and n Kenya";;"AS";"Genetic analyses support species recognition of Somali Ostrich and perhaps other subspecies groups (Miller et al. 2011).";" "
16;17;;"Greater Rhea";"Rhea americana";"(Linnaeus, 1758)";"SA : se";;;;"Нанду великий"
16;23;;"Lesser Rhea";"Rhea pennata";"d'Orbigny, 1834";"SA : Southern Cone";;"TAX, ENG";"Pterocnemia merged into Rhea (SACC 348); change English name to Lesser Rhea to conform to general usage.";"Нанду малий"
30;31;;"Southern Brown Kiwi";"Apteryx australis";"Shaw, 1813";"AU : New Zealand";;;;"Ківі бурий"
30;34;;"North Island Brown Kiwi";"Apteryx mantelli";"Bartlett, 1852";"AU : North I. (New Zealand)";;;;" "
30;35;;"Okarito Kiwi";"Apteryx rowi";"Tennyson, Palma, Robertson, Worthy & Gill, BJ, 2003";"AU : w South I. (New Zealand)";;;;" "
30;36;;"Little Spotted Kiwi";"Apteryx owenii";"Gould, 1847";"AU : Kapiti I., South I. (New Zealand)";;;;"Ківі малий"
30;37;;"Great Spotted Kiwi";"Apteryx haastii";"Potts, 1872";"AU : w South I. (New Zealand)";;;;"Ківі сірий"
41;42;;"Southern Cassowary";"Casuarius casuarius";"(Linnaeus, 1758)";"AU : New Guinea, ne Australia and Aru Is.";;;;"Казуар шоломний"
41;43;;"Dwarf Cassowary";"Casuarius bennetti";"Gould, 1857";"AU : New Guinea, Yapen I. and New Britain";;;;"Казуар малий"
41;46;;"Northern Cassowary";"Casuarius unappendiculatus";"Blyth, 1860";"AU : New Guinea, Yapen I. and Salawati I.";;;;"Казуар жовтошиїй"
47;48;;"Emu";"Dromaius novaehollandiae";"(Latham, 1790)";"AU : Australia";;;;"Ему австралійський"
56;57;;"Grey Tinamou";"Tinamus tao";"Temminck, 1815";"SA : Amazonia";;;;"Тао "
56;62;;"Solitary Tinamou";"Tinamus solitarius";"(Vieillot, 1819)";"SA : e Brazil to ne Argentina and e Paraguay";;"TAX, SSP";"Treat as monotypic; subspecies pernambucensis is synonymous with the nominate (Raposo do Amaral & Silveira 2004).";"Тинаму-Самітник "
56;63;;"Black Tinamou";"Tinamus osgoodi";"Conover, 1949";"SA : sc Colombia and se Peru";;;;"Тинаму чорний"
56;66;;"Great Tinamou";"Tinamus major";"(Gmelin, JF, 1789)";"MA, SA : s Mexico through Amazonia";;;;"Тинаму великий"
56;79;;"White-throated Tinamou";"Tinamus guttatus";"Pelzeln, 1863";"SA : Amazonia";;;;"Тинаму білогорлий"
80;81;;"Highland Tinamou";"Nothocercus bonapartei";"(Gray, GR, 1867)";"MA, SA : Costa Rica to Peru";;;;"Тинаму бурий"
80;87;;"Tawny-breasted Tinamou";"Nothocercus julius";"(Bonaparte, 1854)";"SA : c Colombia and w Venezuela to sc Peru";;;;"Тинаму жовтогрудий"
80;88;;"Hooded Tinamou";"Nothocercus nigrocapillus";"(Gray, GR, 1867)";"SA : Peru and Bolivia";;;;"Тинаму чорноголовий"
91;92;;"Berlepsch's Tinamou";"Crypturellus berlepschi";"(Rothschild, 1897)";"SA : w Colombia and nw Ecuador";;;;"Татаупа чорний"
91;93;;"Cinereous Tinamou";"Crypturellus cinereus";"(Gmelin, JF, 1789)";"SA : Amazonia";;;;"Татаупа сірий"
91;94;;"Little Tinamou";"Crypturellus soui";"(Hermann, 1783)";"MA, SA : s Mexico to e Brazil";;;;"Татаупа малий"
91;109;;"Tepui Tinamou";"Crypturellus ptaritepui";"Zimmer, JT & Phelps, 1945";"SA : Venezuela";;;;"Татаупа білоокий"
91;110;;"Brown Tinamou";"Crypturellus obsoletus";"(Temminck, 1815)";"SA : Widespread";;;;"Татаупа каштановий"
91;120;;"Undulated Tinamou";"Crypturellus undulatus";"(Temminck, 1815)";"SA : Amazonia and sc";;;;"Татаупа блідий"
91;127;;"Pale-browed Tinamou";"Crypturellus transfasciatus";"(Sclater, PL & Salvin, 1878)";"SA : w Ecuador and nw Peru";;;;"Татаупа білобровий"
91;128;;"Brazilian Tinamou";"Crypturellus strigulosus";"(Temminck, 1815)";"SA : e Peru and nw Bolivia through s Amazonian Brazil";;;;"Татаупа бразильський"
91;129;;"Grey-legged Tinamou";"Crypturellus duidae";"Zimmer, JT, 1938";"SA : ec Colombia to s Venezuela";;;;"Татаупа сіроногий"
91;130;;"Red-legged Tinamou";"Crypturellus erythropus";"(Pelzeln, 1863)";"SA : n";;;;"Татаупа червононогий"
91;138;;"Yellow-legged Tinamou";"Crypturellus noctivagus";"(Wied-Neuwied, 1820)";"SA : e Brazil";;;;"Татаупа жовтоногий"
91;141;;"Black-capped Tinamou";"Crypturellus atrocapillus";"(Tschudi, 1844)";"SA : Peru and Bolivia";;;;"Татаупа темноголовий"
91;144;;"Thicket Tinamou";"Crypturellus cinnamomeus";"(Lesson, PA, 1842)";"MA : wc Mexico to Costa Rica";;"AS";"Crypturellus cinnamomeus is split from C. erythropus (H&M; BLI; AOU 1998).";"Татаупа чагарниковий"
91;154;;"Slaty-breasted Tinamou";"Crypturellus boucardi";"(Sclater, PL, 1860)";"MA : s Mexico to Costa Rica";;"AS";"Crypturellus boucardi is split from C. erythropus (H&M; BLI; AOU 1998).";"Татаупа сірогрудий"
91;157;;"Choco Tinamou";"Crypturellus kerriae";"(Chapman, 1915)";"MA, SA : se Panama and nw Colombia";;;;"Татаупа панамський"
91;158;;"Variegated Tinamou";"Crypturellus variegatus";"(Gmelin, JF, 1789)";"SA : Amazonia and e Brazil";;;;"Татаупа амазонійський"
91;159;;"Rusty Tinamou";"Crypturellus brevirostris";"(Pelzeln, 1863)";"SA : w, ne Amazonia";;;;"Татаупа короткодзьобий"
91;160;;"Bartlett's Tinamou";"Crypturellus bartletti";"(Sclater, PL & Salvin, 1873)";"SA : w Amazonia";;;;"Татаупа перуанський"
91;161;;"Small-billed Tinamou";"Crypturellus parvirostris";"(Wagler, 1827)";"SA : se Peru and s Amazonian Brazil to ne Argentina";;;;"Татаупа червонодзьобий"
91;162;;"Barred Tinamou";"Crypturellus casiquiare";"(Chapman, 1929)";"SA : e Colombia and s Venezuela";;;;"Татаупа колумбійський"
91;163;;"Tataupa Tinamou";"Crypturellus tataupa";"(Temminck, 1815)";"SA : e, se, sc";;;;"Татаупа сіроголовий"
168;169;;"Red-winged Tinamou";"Rhynchotus rufescens";"(Temminck, 1815)";"SA : e, se, sc";;;;"Інамбу рудошиїй"
168;173;;"Huayco Tinamou";"Rhynchotus maculicollis";"Gray, GR, 1867";"SA : nw Bolivia and nw Argentina";;;;" "
174;175;;"Taczanowski's Tinamou";"Nothoprocta taczanowskii";"Sclater, PL & Salvin, 1875";"SA : sc Peru";;;;"Інамбу перуанський"
174;176;;"Ornate Tinamou";"Nothoprocta ornata";"(Gray, GR, 1867)";"SA : Peru to n Chile and nw Argentina";;"TAX";"Nothoprocta kalinowskii is a synonym of N. ornata (Krabbe & Schulenberg 2005; SACC 246).";"Інамбу рудогрудий"
174;180;;"Chilean Tinamou";"Nothoprocta perdicaria";"(Kittlitz, 1830)";"SA : Chile";;;;"Інамбу чилійський"
174;183;;"Brushland Tinamou";"Nothoprocta cinerascens";"(Burmeister, 1860)";"SA : Southern Cone";;;;"Інамбу чагарниковий"
174;186;;"Andean Tinamou";"Nothoprocta pentlandii";"(Gray, GR, 1867)";"SA : Ecuador to c Argentina";;;;"Інамбу андійський"
174;195;;"Curve-billed Tinamou";"Nothoprocta curvirostris";"Sclater, PL & Salvin, 1873";"SA : Ecuador, Peru";;;;"Інамбу криводзьобий"
198;199;;"White-bellied Nothura";"Nothura boraquira";"(Spix, 1825)";"SA : e Brazil to e Bolivia and ne Paraguay";;;;"Нотура білочеревий"
198;200;;"Lesser Nothura";"Nothura minor";"(Spix, 1825)";"SA : se Brazil";;;;"Нотура-Крихітка "
198;201;;"Darwin's Nothura";"Nothura darwinii";"Gray, GR, 1867";"SA : Peru to sc Argentina";;;;"Нотура дарвіна"
198;207;;"Spotted Nothura";"Nothura maculosa";"(Temminck, 1815)";"SA : se";;;;"Нотура строкатий"
217;218;;"Dwarf Tinamou";"Taoniscus nanus";"(Temminck, 1815)";"SA : se Brazil and ne Argentina";;;;"Інамбу карликовий"
219;220;;"Elegant Crested Tinamou";"Eudromia elegans";"Geoffroy Saint-Hilaire, I, 1832";"SA : Southern Cone";;;;"Інамбу чубатий"
219;231;;"Quebracho Crested Tinamou";"Eudromia formosa";"(Lillo, 1905)";"SA : Paraguay and n Argentina";;;;"Інамбу ошатний"
234;235;;"Puna Tinamou";"Tinamotis pentlandii";"Vigors, 1837";"SA : sc Peru, n Bolivia, n Chile and nw Argentina";;;;"Інамбу червоногузий"
234;236;;"Patagonian Tinamou";"Tinamotis ingoufi";"Oustalet, 1890";"SA : s Chile and sw Argentina";;;;"Інамбу патагонський"
240;241;;"Australian Brushturkey";"Alectura lathami";"Gray, JE, 1831";"AU : e Australia";;;;"Великоніг східний"
244;245;;"Wattled Brushturkey";"Aepypodius arfakianus";"(Salvadori, 1877)";"AU : New Guinea";;;;"Великоніг сірощокий"
244;248;;"Waigeo Brushturkey";"Aepypodius bruijnii";"(Oustalet, 1880)";"AU : Waigeo I. (w Papuan islands)";;;;"Великоніг червонощокий"
249;250;;"Red-billed Brushturkey";"Talegalla cuvieri";"Lesson, R, 1828";"AU : w New Guinea and Misool I.";;"SSP";"Treat as monotypic; includes granti (Beehler & Pratt 2016).";"Великоніг червонодзьобий"
249;251;;"Black-billed Brushturkey";"Talegalla fuscirostris";"Salvadori, 1877";"AU : New Guinea and Aru Is.";;"SSP";"Treat as monotypic; includes occidentis, aruensis and meyeri (Beehler & Pratt 2016).";"Великоніг чорнодзьобий"
249;252;;"Collared Brushturkey";"Talegalla jobiensis";"Meyer, AB, 1874";"AU : New Guinea";;;;"Великоніг буродзьобий"
255;256;;"Malleefowl";"Leipoa ocellata";"Gould, 1840";"AU : s Australia";;;;"Великоніг строкатий"
257;258;;"Maleo";"Macrocephalon maleo";"Müller, S, 1846";"AU : Sulawesi";;;;"Малео "
259;260;;"Moluccan Megapode";"Eulipoa wallacei";"(Gray, GR, 1861)";"AU : Moluccas";;;;"Великоніг молуцький"
261;262;;"Tongan Megapode";"Megapodius pritchardii";"Gray, GR, 1864";"PO : Tonga";;;;"Великоніг полінезійський"
261;263;;"Micronesian Megapode";"Megapodius laperouse";"Gaimard, 1823";"PO : Palau Is. and Mariana Is.";;;;"Великоніг мікронезійський"
261;266;;"Nicobar Megapode";"Megapodius nicobariensis";"Blyth, 1846";"OR : Nicobar Is.";;;;"Великоніг нікобарський"
261;269;;"Philippine Megapode";"Megapodius cumingii";"Dillwyn, 1853";"OR : Philippines, Borneo and Sulawesi";;;;"Великоніг філіпінський"
261;277;;"Sula Megapode";"Megapodius bernsteinii";"Schlegel, 1866";"AU : Sula Is.";;;;"Великоніг сулуйський"
261;278;;"Tanimbar Megapode";"Megapodius tenimberensis";"Sclater, PL, 1883";"AU : Tanimbar Is.";;;;" "
261;279;;"Dusky Megapode";"Megapodius freycinet";"Gaimard, 1823";"AU : Moluccas and New Guinea";;;;"Великоніг джунглевий"
261;285;;"Biak Scrubfowl";"Megapodius geelvinkianus";"Meyer, AB, 1874";"AU : New Guinea";;"ENG";"Change English name of Megapodius geelvinkianus to Biak Scrubfowl (Gregory 2009).";" "
261;286;;"Melanesian Megapode";"Megapodius eremita";"Hartlaub, 1868";"AU : Bismarck Arch. to Solomon Is.";;;;"Великоніг меланезійський"
261;287;;"Vanuatu Megapode";"Megapodius layardi";"Tristram, 1879";"AU : Vanuatu";;;;"Великоніг вануатський"
261;288;;"New Guinea Scrubfowl";"Megapodius decollatus";"Oustalet, 1878";"AU : New Guinea";;"ENG";"Change English name of Megapodius decollatus to New Guinea Scrubfowl (Gregory 2009).";"Великоніг папуанський"
261;289;;"Orange-footed Scrubfowl";"Megapodius reinwardt";"Dumont, 1823";"AU : Lesser Sundas, New Guinea and n Australia";;"ENG";"Change English name of Megapodius reinwardt to Orange-footed Scrubfowl (Gregory 2009).";"Великоніг австралійський"
297;298;;"Plain Chachalaca";"Ortalis vetula";"(Wagler, 1830)";"NA, MA : s Texas to nw Costa Rica";;;;"Чачалака східна"
297;303;;"Grey-headed Chachalaca";"Ortalis cinereiceps";"Gray, GR, 1867";"MA, SA : Honduras to n Colombia";;"AS";"Ortalis cinereiceps is split from O. garrula (Sibley & Monroe 1990; AOU 1998).";"Чачалака сіроголова"
297;304;;"Chestnut-winged Chachalaca";"Ortalis garrula";"(Humboldt, 1805)";"SA : nw Colombia";;;;"Чачалака рудокрила"
297;305;;"Rufous-vented Chachalaca";"Ortalis ruficauda";"Jardine, 1847";"SA : Colombia and Venezuela";;;;"Чачалака рудогуза"
297;308;;"Rufous-headed Chachalaca";"Ortalis erythroptera";"Sclater, PL & Salvin, 1870";"SA : w Ecuador and nw Peru";;;;"Чачалака рудоголова"
297;309;;"Rufous-bellied Chachalaca";"Ortalis wagleri";"Gray, GR, 1867";"MA : nw and w Mexico";;;;"Чачалака рудогруда"
297;310;;"West Mexican Chachalaca";"Ortalis poliocephala";"(Wagler, 1830)";"MA : w  and sw Mexico";;;;"Чачалака західна"
297;311;;"Chaco Chachalaca";"Ortalis canicollis";"(Wagler, 1830)";"SA : c";;;;"Чачалака бура"
297;314;;"White-bellied Chachalaca";"Ortalis leucogastra";"(Gould, 1843)";"MA : s Mexico to Nicaragua";;;;"Чачалака білочерева"
297;315;;"Speckled Chachalaca";"Ortalis guttata";"(Spix, 1825)";"SA : Amazonia";;;;"Чачалака цяткована"
297;319;;"East Brazilian Chachalaca";"Ortalis araucuan";"(Spix, 1825)";"SA : e Brazil";;"AS";"Ortalis araucuan is split from O. guttata (Sick 1993, 1997; Ridgely et al. 2001; SACC 478A).";" "
297;320;;"Scaled Chachalaca";"Ortalis squamata";"Lesson, R, 1829";"SA : se Brazil";;"AS";"Ortalis squamata is split from O. guttata (Sick 1993, 1997; Ridgely et al. 2001; SACC 478B).";" "
297;321;;"Colombian Chachalaca";"Ortalis columbiana";"Hellmayr, 1906";"SA : nc Colombia";;"AS";"Ortalis columbiana is split from O. guttata (Sick 1993, 1997; Ridgely et al. 2001; Ridgely & Greenfield 2001; SACC 439).";" "
297;322;;"Little Chachalaca";"Ortalis motmot";"(Linnaeus, 1766)";"SA : n Amazonia";;;;"Чачалака мала"
297;323;;"Chestnut-headed Chachalaca";"Ortalis ruficeps";"(Wagler, 1830)";"SA : nc Brazil";;"AS";"Ortalis ruficeps is split from O. motmot (Sick 1993; Ridgely et al. 2001; SACC 731 was declined pending more research), but see Tomotani et al. (2020).";" "
297;324;;"Buff-browed Chachalaca";"Ortalis superciliaris";"Gray, GR, 1867";"SA : ne Brazil";;;;"Чачалака світлоброва"
325;326;;"Band-tailed Guan";"Penelope argyrotis";"(Bonaparte, 1856)";"SA : Colombia and Venezuela";;;;"Пенелопа світлоголова"
325;330;;"Bearded Guan";"Penelope barbata";"Chapman, 1921";"SA : s Ecuador and nw Peru";;;;"Пенелопа бородата"
325;331;;"Baudo Guan";"Penelope ortoni";"Salvin, 1874";"SA : w Colombia and w Ecuador";;;;"Пенелопа брунатна"
325;332;;"Andean Guan";"Penelope montagnii";"(Bonaparte, 1856)";"SA : Colombia to Bolivia";;;;"Пенелопа андійська"
325;338;;"Marail Guan";"Penelope marail";"(Müller, PLS, 1776)";"SA : n";;;;"Пенелопа гаянська"
325;341;;"Rusty-margined Guan";"Penelope superciliaris";"Temminck, 1815";"SA : c, e";;;;"Пенелопа рудобока"
325;346;;"Red-faced Guan";"Penelope dabbenei";"Hellmayr & Conover, 1942";"SA : se Bolivia and nw Argentina";;;;"Пенелопа еквадорська"
325;347;;"Crested Guan";"Penelope purpurascens";"Wagler, 1830";"MA, SA : Mexico to nw SA";;;;"Пенелопа чубата"
325;351;;"Cauca Guan";"Penelope perspicax";"Bangs, 1911";"SA : w Colombia";;;;"Пенелопа колумбійська"
325;352;;"White-winged Guan";"Penelope albipennis";"Taczanowski, 1878";"SA : nw Peru";;;;"Пенелопа білокрила"
325;353;;"Spix's Guan";"Penelope jacquacu";"Spix, 1825";"SA : Amazonia";;;;"Пенелопа амазонійська"
325;358;;"Dusky-legged Guan";"Penelope obscura";"Temminck, 1815";"SA : sc, se";;;;"Пенелопа парагвайська"
325;362;;"White-crested Guan";"Penelope pileata";"Wagler, 1830";"SA : nc Brazil";;;;"Пенелопа тапайська"
325;363;;"Chestnut-bellied Guan";"Penelope ochrogaster";"Pelzeln, 1870";"SA : c Brazil";;;;"Пенелопа бразильська"
325;364;;"White-browed Guan";"Penelope jacucaca";"Spix, 1825";"SA : e Brazil";;;;"Пенелопа білоброва"
365;366;;"Trinidad Piping Guan";"Pipile pipile";"(Jacquin, 1784)";"SA : Trinidad";;"ENG";"Restrict English name to ""Trinidad"" instead of ""Common"" while other species of Pipile are recognized (SACC).";"Абурі-Крикун синьогорлий"
365;367;;"Blue-throated Piping Guan";"Pipile cumanensis";"(Jacquin, 1784)";"SA : w Guianas to sw Brazil";;"PL";"Pipile cumanensis treated as ssp. of P. pipile by Ridgely & Greenfield (2001); H&M; BLI; and SACC recognize as species.";"Абурі-Крикун білоголовий"
365;370;;"Red-throated Piping Guan";"Pipile cujubi";"(Pelzeln, 1858)";"SA : nc Brazil and Amazonia";;"PL";"Pipile cujubi treated as spp. of P. pipile by Ridgely & Greenfield (2001); H&M; BLI; and SACC recognize as species.";"Абурі-Крикун червоногорлий"
365;373;;"Black-fronted Piping Guan";"Pipile jacutinga";"(Spix, 1825)";"SA : se Brazil, ne Argentina and se Paraguay";;"AS";"Pipile jacutinga is split from P. pipile (H&M; BLI; SACC).";"Абурі-Крикун чорнолобий"
374;375;;"Wattled Guan";"Aburria aburri";"(Lesson, R, 1828)";"SA : Venezuela to Peru";;;;"Абурі "
376;377;;"Black Guan";"Chamaepetes unicolor";"Salvin, 1867";"MA : Costa Rica and Panama";;;;"Пенелопа чорна"
376;378;;"Sickle-winged Guan";"Chamaepetes goudotii";"(Lesson, R, 1828)";"SA : Colombia to Bolivia";;;;"Пенелопа вогнистогруда"
384;385;;"Highland Guan";"Penelopina nigra";"(Fraser, 1852)";"MA : s Mexico to Nicaragua";;;;"Пенелопа мексиканська"
386;387;;"Horned Guan";"Oreophasis derbianus";"Gray, GR, 1844";"MA : se Mexico and Guatemala";;;;"Пенелопа рогата"
388;389;;"Nocturnal Curassow";"Nothocrax urumutum";"(Spix, 1825)";"SA : w Amazonia";;;;"Гоко "
390;391;;"Crestless Curassow";"Mitu tomentosum";"(Spix, 1825)";"SA : n Amazonia";;;;"Міту малий"
390;392;;"Salvin's Curassow";"Mitu salvini";"Reinhardt, 1879";"SA : w Amazonia";;;;"Міту білогузий"
390;393;;"Razor-billed Curassow";"Mitu tuberosum";"(Spix, 1825)";"SA : Amazonia s of the Amazon";;;;"Міту гребнедзьобий"
390;394;;"Alagoas Curassow";"Mitu mitu";"(Linnaeus, 1766)";"SA : e Brazil";;;;"Міту горбодзьобий"
395;396;;"Helmeted Curassow";"Pauxi pauxi";"(Linnaeus, 1766)";"SA : Venezuela and Colombia";;"ENG";"Simpler SACC name Helmeted Curassow accords with split of Sira Curassow.";"Кракс-Рогань північний"
395;399;;"Horned Curassow";"Pauxi unicornis";"Bond & Meyer de Schauensee, 1939";"SA : c Bolivia";;;;"Кракс-Рогань південний"
395;400;;"Sira Curassow";"Pauxi koepckeae";"Weske & Terborgh, 1971";"SA : Cerros del Sira (c Peru)";;"AS";"Sira Curassow is split from Horned Curassow (Gastañaga et al. 2011; SACC 537).";" "
401;402;;"Great Curassow";"Crax rubra";"Linnaeus, 1758";"MA, SA : Mexico to Peru";;;;"Кракс великий"
401;405;;"Blue-billed Curassow";"Crax alberti";"Fraser, 1852";"SA : n Colombia";;"ENG";"Change English name of Crax alberti; Blue-knobbed is more accurate but revert to traditional name per SACC.";"Кракс синьодзьобий"
401;406;;"Yellow-knobbed Curassow";"Crax daubentoni";"Gray, GR, 1867";"SA : ne Colombia and n Venezuela";;;;"Кракс венесуельський"
401;407;;"Black Curassow";"Crax alector";"Linnaeus, 1766";"SA : n Amazonia";;;;"Кракс тонкодзьобий"
401;410;;"Wattled Curassow";"Crax globulosa";"Spix, 1825";"SA : w Amazonia";;;;"Кракс амазонійський"
401;411;;"Bare-faced Curassow";"Crax fasciolata";"Spix, 1825";"SA : c";;;;"Кракс жовтодзьобий"
401;415;;"Red-billed Curassow";"Crax blumenbachii";"Spix, 1825";"SA : se Brazil";;"ENG";"Change English name of Crax blumenbachii; Red-knobbed is more accurate but revert to traditional name per SACC.";"Кракс червонодзьобий"
418;419;;"White-breasted Guineafowl";"Agelastes meleagrides";"Bonaparte, 1850";"AF : Sierra Leone to Ghana";;;;"Цесарка біловола"
418;420;;"Black Guineafowl";"Agelastes niger";"(Cassin, 1857)";"AF : se Nigeria to c DR Congo";;;;"Цесарка чорна"
421;422;;"Helmeted Guineafowl";"Numida meleagris";"(Linnaeus, 1758)";"AF : widespread";;;;"Цесарка рогата"
432;433;;"Plumed Guineafowl";"Guttera plumifera";"(Cassin, 1857)";"AF : wc";;;;"Цесарка камерунська"
432;436;;"Crested Guineafowl";"Guttera pucherani";"(Hartlaub, 1861)";"AF : w, c, e, se";;;;"Цесарка чубата"
442;443;;"Vulturine Guineafowl";"Acryllium vulturinum";"(Hardwicke, 1834)";"AF : Ethiopia and Somalia to Tanzania";;;;"Цесарка синьогруда"
446;447;;"Stone Partridge";"Ptilopachus petrosus";"(Gmelin, JF, 1789)";"AF : w";;;;"Куріпка скельна"
446;452;;"Nahan's Partridge";"Ptilopachus nahani";"(Dubois, AJC, 1905)";"AF : ne DR Congo and w Uganda";;"ENG";"Change English name of Ptilopachus nahani to Nahan's Partridge with assignment to Odontophoridae.";"Турач ітурійський"
453;454;;"Buffy-crowned Wood Partridge";"Dendrortyx leucophrys";"(Gould, 1844)";"MA : s Mexico to Costa Rica";;;;"Перепелиця білолоба"
453;457;;"Long-tailed Wood Partridge";"Dendrortyx macroura";"(Jardine & Selby, 1828)";"MA : c Mexico";;;;"Перепелиця чорногорла"
453;464;;"Bearded Wood Partridge";"Dendrortyx barbatus";"Gould, 1846";"MA : c Mexico";;;;"Перепелиця мексиканська"
465;466;;"Mountain Quail";"Oreortyx pictus";"(Douglas, 1829)";"NA, MA : sw Canada to Baja California";;;;"Перепелиця гірська"
472;473;;"Scaled Quail";"Callipepla squamata";"(Vigors, 1830)";"NA, MA : sw USA and nc Mexico";;;;"Перепелиця строкатобока"
472;478;;"Elegant Quail";"Callipepla douglasii";"(Vigors, 1829)";"MA : w Mexico";;;;"Перепелиця жовточуба"
472;484;;"California Quail";"Callipepla californica";"(Shaw, 1798)";"NA, MA : sw Canada to Baja California";;;;"Перепелиця каліфорнійська"
472;490;;"Gambel's Quail";"Callipepla gambelii";"(Gambel, 1843)";"NA, MA : sw USA and nw Mexico";;;;"Перепелиця жовтогруда"
495;496;;"Banded Quail";"Philortyx fasciatus";"(Gould, 1844)";"MA : c Mexico";;;;"Перепелиця смугаста"
497;498;;"Northern Bobwhite";"Colinus virginianus";"(Linnaeus, 1758)";"NA, MA : ec, se USA and e Mexico";;;;"Перепелиця віргинська"
497;519;;"Yucatan Bobwhite";"Colinus nigrogularis";"(Gould, 1843)";"MA : se Mexico to Honduras";;;;"Перепелиця білоброва"
497;524;;"Spot-bellied Bobwhite";"Colinus leucopogon";"(Lesson, R, 1842)";"MA : Guatemala to Costa Rica";;;;"Перепелиця білогорла"
497;531;;"Crested Bobwhite";"Colinus cristatus";"(Linnaeus, 1766)";"MA, SA : Costa Rica through n SA";;;;"Перепелиця чубата"
545;546;;"Marbled Wood Quail";"Odontophorus gujanensis";"(Gmelin, JF, 1789)";"MA, SA : Costa Rica to e Bolivia";;;;"Токро гвіанський"
545;555;;"Spot-winged Wood Quail";"Odontophorus capueira";"(Spix, 1825)";"SA : e Brazil to ne Argentina and e Paraguay";;"SSP";"Treat as monotypic; includes plumbeicollis (Carroll 1994).";"Токро бразильський"
545;556;;"Black-eared Wood Quail";"Odontophorus melanotis";"Salvin, 1865";"MA : Honduras to Panama";;;;"Токро чорнощокий"
545;559;;"Rufous-fronted Wood Quail";"Odontophorus erythrops";"Gould, 1859";"SA : w Colombia and w Ecuador";;;;"Токро рудолобий"
545;562;;"Black-fronted Wood Quail";"Odontophorus atrifrons";"Allen, JA, 1900";"SA : ne Colombia and nw Venezuela";;;;"Токро чорнолобий"
545;566;;"Chestnut Wood Quail";"Odontophorus hyperythrus";"Gould, 1858";"SA : Colombia";;;;"Токро каштановий"
545;567;;"Dark-backed Wood Quail";"Odontophorus melanonotus";"Gould, 1861";"SA : sw Colombia and nw Ecuador";;;;"Токро еквадорський"
545;568;;"Rufous-breasted Wood Quail";"Odontophorus speciosus";"Tschudi, 1843";"SA : w Amazonia";;;;"Токро рудогрудий"
545;572;;"Tacarcuna Wood Quail";"Odontophorus dialeucos";"Wetmore, 1963";"MA, SA : e Panama and nw Colombia";;;;"Токро панамський"
545;573;;"Gorgeted Wood Quail";"Odontophorus strophium";"(Gould, 1844)";"SA : Colombia";;;;"Токро білощокий"
545;574;;"Venezuelan Wood Quail";"Odontophorus columbianus";"Gould, 1850";"SA : nc Venezuela";;;;"Токро венесуельський"
545;575;;"Black-breasted Wood Quail";"Odontophorus leucolaemus";"Salvin, 1867";"MA : Costa Rica and Panama";;;;"Токро білогорлий"
545;576;;"Stripe-faced Wood Quail";"Odontophorus balliviani";"Gould, 1846";"SA : se Peru and nw Bolivia";;;;"Токро андійський"
545;577;;"Starred Wood Quail";"Odontophorus stellatus";"(Gould, 1843)";"SA : w Amazonia";;;;"Токро рудочубий"
545;578;;"Spotted Wood Quail";"Odontophorus guttatus";"(Gould, 1838)";"MA : s Mexico to Panama";;;;"Токро чубатий"
579;580;;"Singing Quail";"Dactylortyx thoracicus";"(Gambel, 1848)";"MA : c Mexico to Honduras";;;;"Перепелиця довгопала"
592;593;;"Montezuma Quail";"Cyrtonyx montezumae";"(Vigors, 1830)";"NA, MA : sw US, Mexico";;;;"Перепелиця-Клоун мексиканська"
592;598;;"Ocellated Quail";"Cyrtonyx ocellatus";"(Gould, 1837)";"MA : sw Mexico to Nicaragua";;;;"Перепелиця-Клоун західна"
599;600;;"Tawny-faced Quail";"Rhynchortyx cinctus";"(Salvin, 1876)";"MA, SA : Honduras to Ecuador";;;;"Перепелиця рудощока"
606;607;;"Wild Turkey";"Meleagris gallopavo";"Linnaeus, 1758";"NA, MA : s Canada, USA and n Mexico";;;;"Індик великий"
606;614;;"Ocellated Turkey";"Meleagris ocellata";"Cuvier, 1820";"MA : se Mexico, Belize and Guatemala";;;;"Індик малий"
615;616;;"Ruffed Grouse";"Bonasa umbellus";"(Linnaeus, 1766)";"NA : Alaska, Canada and n USA";;;;"Орябок американський"
630;631;;"Hazel Grouse";"Tetrastes bonasia";"(Linnaeus, 1758)";"EU : nw, nc, ne";;;;"Орябок лісовий"
630;643;;"Chinese Grouse";"Tetrastes sewerzowi";"Przewalski, 1876";"EU : c China";;"ENG";"Change English name of China endemic Tetrastes sewerzowi to Chinese Grouse, the alternative and prevailing name.";"Орябок китайський"
646;647;;"Siberian Grouse";"Falcipennis falcipennis";"(Hartlaub, 1855)";"EU : e Siberia and Sakhalin I.";;;;"Дикуша чорна"
